txNomeParlamentar_x,vlrDocumento,txNomeParlamentar_y,avg_per_receipt
Bibo Nunes,39753.13,652,60.97105828220859
David Soares,36439.81,661,55.12830559757942
André de Paula,33344.63,519,64.24784200385356
Zeca Dirceu,27040.15,497,54.40674044265594
João Carlos Bacelar,25031.7,289,86.61487889273357
Claudio Cajado,23383.78,409,57.17305623471882
Eduardo Cury,23119.99,511,45.24459882583171
Ricardo Guidi,22415.46,362,61.92116022099447
Rubens Bueno,22355.11,270,82.7967037037037
Abou Anni,22137.56,527,42.00675521821632
Luiz Antônio Corrêa,21959.49,240,91.49787500000001
Vanderlei Macris,21066.52,548,38.44255474452555
Wilson Santiago,19939.920000000002,225,88.62186666666668
Celso Russomanno,19753.54,370,53.38794594594595
General Peternelli,19615.91,480,40.866479166666664
Marcos Soares,19411.08,214,90.70598130841122
Alexandre Frota,19271.45,113,170.54380530973452
Guiga Peixoto,19240.89,334,57.607455089820355
Luizianne Lins,18799.74,230,81.73800000000001
Coronel Chrisóstomo,18441.77,281,65.62907473309609
Sargento Fahur,16028.34,354,45.27779661016949
Afonso Motta,15526.09,300,51.75363333333333
Pedro Uczai,15483.93,389,39.80444730077121
Pastor Eurico,14649.43,213,68.77666666666667
General Girão,13765.82,218,63.14596330275229
Eduardo Bismarck,13744.83,215,63.92944186046512
João Marcelo Souza,13693.42,123,111.32861788617886
Dr. Zacharias Calil,13528.38,306,44.210392156862746
Jorge Solla,13086.01,390,33.553871794871796
Otto Alencar Filho,12946.27,205,63.15253658536586
Professor Joziel,12907.68,358,36.05497206703911
Zé Carlos,12857.96,296,43.439054054054054
Marcelo Nilo,12730.01,178,71.51691011235955
Guilherme Derrite,12405.44,335,37.03116417910448
Schiavinato,12206.42,221,55.23266968325792
Aelton Freitas,12129.2,172,70.51860465116279
Jorge Braz,12004.54,159,75.50025157232704
Ricardo Silva,11751.51,216,54.40513888888889
Rogério Peninha Mendonça,11235.4,186,60.40537634408602
Gonzaga Patriota,11003.55,102,107.87794117647059
Coronel Tadeu,10850.35,302,35.92831125827815
Célio Moura,10703.24,270,39.64162962962963
Raimundo Costa,10509.99,171,61.4619298245614
Márcio Biolchi,10034.67,154,65.1601948051948
Christiane de Souza Yared,9976.17,190,52.506157894736845
Jerônimo Goergen,9434.54,214,44.086635514018695
Carlos Gomes,9404.0,197,47.736040609137056
Leda Sadala,9348.42,163,57.35226993865031
Lucio Mosquini,9155.98,177,51.728700564971746
Eduardo Barbosa,9144.7,294,31.104421768707486
Alexandre Padilha,9069.29,200,45.346450000000004
Alexandre Serfiotis,8628.33,206,41.88509708737864
Professora Rosa Neide,8387.73,181,46.3410497237569
Carlos Chiodini,8309.5,172,48.31104651162791
Leônidas Cristino,8222.77,137,60.02021897810219
Giovani Cherini,8191.09,179,45.76027932960894
Vermelho,8091.16,86,94.08325581395349
Felício Laterça,8078.59,151,53.500596026490065
Osmar Terra,7964.75,91,87.52472527472527
Afonso Hamm,7855.9,210,37.40904761904762
Christino Aureo,7769.9,145,53.58551724137931
Odair Cunha,7745.37,134,57.80126865671642
Vitor Lippi,7703.68,218,35.33798165137615
Elcione Barbalho,7650.81,165,46.368545454545455
Nilto Tatto,7593.63,141,53.85553191489362
Reinhold Stephanes Junior,7589.88,117,64.87076923076923
André Ferreira,7426.46,70,106.09228571428571
Igor Kannário,7357.49,87,84.56885057471264
Gelson Azevedo,7162.68,98,73.08857142857143
Léo Motta,6634.87,156,42.531217948717945
Bohn Gass,6333.87,190,33.33615789473684
Nelson Pellegrino,6256.56,131,47.760000000000005
Vitor Hugo,6209.17,167,37.18065868263473
Policial Katia Sastre,6194.96,144,43.02055555555555
Filipe Barros,6183.41,93,66.48827956989247
Pedro Westphalen,6153.51,122,50.43860655737705
Geninho Zuliani,6148.76,132,46.581515151515156
Juarez Costa,6119.54,132,46.360151515151514
Luizão Goulart,5954.02,170,35.023647058823535
Mauro Lopes,5856.41,61,96.0067213114754
Danilo Forte,5761.93,69,83.50623188405798
Benedita da Silva,5729.43,71,80.69619718309859
Nereu Crispim,5714.53,142,40.24316901408451
Paulão,5460.12,78,70.00153846153846
Pedro Augusto Palareti,5457.79,58,94.0998275862069
Paulo Guedes,5450.36,83,65.66698795180723
Capitão Augusto,5433.81,153,35.51509803921569
Afonso Florence,5406.97,142,38.077253521126764
Geovania de Sá,5370.81,149,36.04570469798658
Dr. Leonardo,5255.72,116,45.30793103448276
Gurgel,5219.64,69,75.64695652173914
Wladimir Garotinho,5204.79,120,43.37325
Helio Lopes,5192.75,100,51.9275
Domingos Sávio,5164.18,85,60.75505882352942
Frei Anastacio Ribeiro,5150.89,94,54.79670212765958
Beto Pereira,4985.3,81,61.546913580246915
Alencar Santana Braga,4959.77,86,57.67174418604652
Vinicius Farah,4819.56,92,52.38652173913044
Clarissa Garotinho,4801.74,112,42.87267857142857
Arlindo Chinaglia,4679.93,110,42.54481818181819
Valtenir Pereira,4657.9400000000005,56,83.17750000000001
Heitor Schuch,4608.36,97,47.50886597938144
Maurício Dziedricki,4351.83,102,42.665
Bia Kicis,4321.23,70,61.73185714285714
Angela Amin,4318.8,66,65.43636363636364
Rui Falcão,4308.04,57,75.57964912280701
Julian Lemos,4304.54,68,63.302058823529414
José Ricardo,4242.98,108,39.28685185185185
Miguel Lombardi,4240.47,83,51.09
Samuel Moreira,4204.6,93,45.21075268817205
Charles Fernandes,4202.21,55,76.40381818181818
Alê Silva,4184.74,136,30.77014705882353
Raul Henry,4169.81,92,45.32402173913044
Franco Cartafina,4152.38,98,42.37122448979592
Subtenente Gonzaga,4089.12,168,24.34
Nicoletti,3935.11,65,60.54015384615385
Pompeo de Mattos,3823.3,113,33.83451327433629
Professora Dayane Pimentel,3800.85,79,48.11202531645569
Sérgio Brito,3784.22,45,84.09377777777777
Marcon,3752.29,109,34.424678899082565
Dr. Jaziel,3724.94,83,44.87879518072289
Aroldo Martins,3670.69,68,53.98073529411765
Joseildo Ramos,3658.84,56,65.33642857142857
Alexis Fonteyne,3648.85,101,36.127227722772275
Marília Arraes,3583.63,43,83.34023255813953
Darcísio Perondi,3558.25,68,52.32720588235294
Zé Neto,3546.23,50,70.9246
Pinheirinho,3516.93,56,62.802321428571425
Otoni de Paula,3463.08,38,91.13368421052631
Wolney Queiroz,3442.31,25,137.6924
Fábio Trad,3408.26,62,54.97193548387097
Juninho do Pneu,3328.88,37,89.96972972972974
Marcelo Brum,3305.87,65,50.85953846153846
AJ Albuquerque,3299.25,50,65.985
Luiz Carlos Motta,3288.95,50,65.779
Dimas Fabiano,3285.95,91,36.10934065934066
Ruy Carneiro,3271.59,74,44.21067567567568
Jones Moura,3254.49,52,62.58634615384615
Rosangela Gomes,3242.74,51,63.583137254901956
Emidinho Madeira,3233.56,76,42.54684210526316
Gilson Marques,3217.96,82,39.24341463414634
Fabio Schiochet,3202.45,52,61.58557692307692
Sebastião Oliveira,3141.59,22,142.79954545454547
Darci de Matos,3084.09,49,62.94061224489796
Ossesio Silva,3037.62,42,72.32428571428571
Delegado Marcelo Freitas,2956.72,72,41.065555555555555
Paulo Teixeira,2933.86,63,46.569206349206354
Carlos Veras,2923.24,63,46.400634920634914
Dra. Vanda Milani,2915.0,59,49.40677966101695
Abílio Santana,2910.75,49,59.4030612244898
Bilac Pinto,2864.9,57,50.261403508771934
Dr. Luiz Ovando,2862.56,107,26.75289719626168
Eduardo Bolsonaro,2859.19,60,47.65316666666667
Idilvan Alencar,2845.82,60,47.43033333333334
Robério Monteiro,2844.46,37,76.8772972972973
Liziane Bayer,2817.47,71,39.682676056338025
Patrus Ananias,2797.04,57,49.07087719298246
Vicentinho,2793.95,47,59.44574468085106
Carla Zambelli,2729.33,82,33.28451219512195
Arthur Oliveira Maia,2685.07,26,103.27192307692309
Marcelo Calero,2656.87,60,44.281166666666664
Herculano Passos,2604.79,39,66.78948717948718
Glauber Braga,2577.16,95,27.128
Margarida Salomão,2543.65,24,105.98541666666667
Alceu Moreira,2543.47,48,52.98895833333333
Hélio Costa,2535.35,69,36.744202898550725
Paulo Ramos,2532.4,24,105.51666666666667
Flávio Nogueira,2475.15,43,57.561627906976746
Stefano Aguiar,2435.94,61,39.93344262295082
Zé Silva,2328.37,62,37.55435483870968
Totonho Lopes,2301.59,21,109.59952380952382
José Rocha,2286.21,26,87.93115384615385
Marreca Filho,2258.1,41,55.075609756097556
Alex Santana,2236.49,32,69.8903125
Nilson F. Stainsack,2209.47,40,55.236749999999994
Alcides Rodrigues,2188.59,69,31.718695652173913
Merlong Solano,2114.07,55,38.437636363636365
Tiago Dimas,2103.76,26,80.91384615384617
Milton Coelho,2097.15,4,524.2875
Otavio Leite,2076.53,46,45.14195652173913
Neri Geller,1942.26,29,66.9744827586207
Enéias Reis,1895.35,55,34.46090909090909
Edilázio Júnior,1894.65,33,57.413636363636364
Olival Marques,1868.98,32,58.405625
Lucas Gonzalez,1851.84,38,48.73263157894737
Joice Hasselmann,1791.13,21,85.29190476190476
Daniel Coelho,1751.03,47,37.25595744680851
Dagoberto Nogueira,1722.15,41,42.00365853658537
Luisa Canziani,1701.55,24,70.89791666666666
Arnaldo Jardim,1624.51,32,50.7659375
Lauriete,1568.45,41,38.25487804878049
Laerte Bessa,1451.39,16,90.711875
Júlio Delgado,1381.29,25,55.251599999999996
Alan Rick,1357.6399999999999,21,64.6495238095238
Isnaldo Bulhões Jr.,1355.85,16,84.740625
MAJOR OLIMPIO,1335.83,24,55.65958333333333
RONALDO LESSA,1321.86,13,101.68153846153845
Aécio Neves,1305.7,11,118.7
Márcio Jerry,1293.79,22,58.80863636363636
Silvia Cristina,1244.59,29,42.916896551724136
João Maia,1225.28,10,122.52799999999999
JUNIOR CORINGA,1213.58,19,63.87263157894736
Osmar Serraglio,1212.3600000000001,24,50.51500000000001
Perpétua Almeida,1172.66,8,146.5825
Euclydes Pettersen,1136.46,20,56.823
Vavá Martins,1128.02,15,75.20133333333334
Newton Cardoso Jr,1123.54,13,86.42615384615384
Julio Cesar Ribeiro,1017.1700000000001,13,78.24384615384616
Gilberto Abramo,1009.79,15,67.31933333333333
Heitor Freire,985.21,21,46.9147619047619
Henrique Fontana,980.46,21,46.68857142857143
Lídice da Mata,972.16,16,60.76
Josivaldo JP,950.37,14,67.88357142857143
JOSÉ CARLOS ALELUIA,931.9100000000001,11,84.71909090909092
Rogério Correia,926.0,20,46.3
Renata Abreu,918.85,23,39.95
Gil Cutrim,891.8000000000001,11,81.07272727272728
Jandira Feghali,888.92,14,63.49428571428571
Giovani Feltes,870.18,13,66.93692307692308
Delegado Pablo,844.79,13,64.98384615384614
Fausto Pinato,801.82,6,133.63666666666668
RONALDO BENEDET,798.73,13,61.440769230769234
Caroline de Toni,775.49,28,27.69607142857143
Paulo Magalhães,761.65,6,126.94166666666666
José Medeiros,749.16,13,57.62769230769231
Charlles Evangelista,748.5899999999999,16,46.786874999999995
Chiquinho Brazão,720.86,11,65.53272727272727
José Nunes,715.26,4,178.815
Augusto Coutinho,683.02,9,75.89111111111112
Aline Sleutjes,671.62,19,35.34842105263158
Daniel Almeida,642.16,14,45.86857142857143
Eduardo Costa,619.98,6,103.33
Flordelis,615.5600000000001,6,102.59333333333335
Eli Borges,607.79,9,67.53222222222222
André Janones,600.97,15,40.06466666666667
NELSON MEURER,595.0,4,148.75
CORONEL BITTENCOURT,590.24,9,65.58222222222223
Fernando Borja,575.76,9,63.97333333333333
Santini,569.21,9,63.24555555555556
MARCONDES GADELHA,564.43,11,51.311818181818175
MARCOS ROGÉRIO,545.9,3,181.96666666666667
Lucas Redecker,544.12,5,108.824
FLORIANO PESARO,536.02,11,48.72909090909091
Camilo Capiberibe,518.46,14,37.03285714285715
JOSÉ CARLOS ARAÚJO,516.99,12,43.0825
Diego Andrade,510.95,10,51.095
Pedro Augusto Bezerra,509.70000000000005,4,127.42500000000001
Ricardo Teobaldo,505.63,4,126.4075
Tabata Amaral,498.59000000000003,7,71.22714285714287
Alexandre Leite,469.15999999999997,6,78.19333333333333
Nelson Barbudo,467.32,8,58.415
Magda Mofatto,438.09000000000003,10,43.809000000000005
Júnior Mano,436.01,7,62.287142857142854
Hermes Parcianello,411.7,6,68.61666666666666
JORGE TADEU MUDALEN,410.61,4,102.6525
MISSIONÁRIO JOSÉ OLIMPIO,402.9,9,44.766666666666666
Leo de Brito,396.51,6,66.085
Airton Faleiro,387.2,10,38.72
Dr. Luiz Antonio Teixeira Jr.,372.34999999999997,4,93.08749999999999
MARFIZA GALVÃO,369.34,3,123.11333333333333
Mário Negromonte Jr.,368.94,6,61.49
JÚLIA MARINHO,365.29,12,30.440833333333334
CELSO JACOB,364.82,8,45.6025
Waldenor Pereira,360.05,13,27.696153846153848
DÉCIO LIMA,349.53000000000003,5,69.906
Eros Biondini,342.61,3,114.20333333333333
Bosco Saraiva,342.03,5,68.40599999999999
Wellington Roberto,340.86,4,85.215
JOSÉ MENTOR,335.51,6,55.91833333333333
Laura Carneiro,333.3,4,83.325
Pedro Lupion,326.56,6,54.42666666666667
Igor Timo,324.4,3,108.13333333333333
JOÃO PAULO KLEINÜBING,323.58,3,107.86
Ricardo Pericar,315.65999999999997,8,39.457499999999996
Milton Vieira,314.98,3,104.99333333333334
LUIZ FERNANDO FARIA,314.4,5,62.879999999999995
Lourival Gomes,312.81,6,52.135
Sanderson,309.1,4,77.275
José Airton Félix Cirilo,286.55,3,95.51666666666667
Professora Dorinha Seabra Rezende,285.7,8,35.7125
SILVIO TORRES,283.55,3,94.51666666666667
RONALDO NOGUEIRA,275.0,7,39.285714285714285
Major Fabiana,267.03999999999996,4,66.75999999999999
Daniel Freitas,264.43,2,132.215
LUIZ CARLOS RAMOS,262.6,5,52.52
Norma Pereira,246.7,6,41.11666666666667
Francisco Jr.,245.51,4,61.3775
Silvio Costa Filho,245.47,5,49.094
SIMÃO SESSIM,238.05,2,119.025
MAURO MARIANI,236.98,3,78.99333333333333
VICENTE CANDIDO,231.73,5,46.346
Fernanda Melchionna,225.67000000000002,3,75.22333333333334
Chico D'Angelo,220.18,7,31.454285714285714
Coronel Armando,216.4,1,216.4
Daniel Silveira,210.95,6,35.15833333333333
Luciano Bivar,200.24,1,200.24
Joaquim Passarinho,200.0,1,200.0
Elias Vaz,198.06,3,66.02
JORGE CÔRTE REAL,187.85000000000002,3,62.616666666666674
GUSTAVO MITRE,183.7,3,61.23333333333333
LUIS CARLOS HEINZE,179.26,6,29.876666666666665
ANTONIO IMBASSAHY,176.0,1,176.0
JUNIOR MARRECA,164.2,1,164.2
Boca Aberta,156.34,3,52.11333333333334
Jesus Sérgio,151.32,2,75.66
BENITO GAMA,146.72,1,146.72
JOSE STÉDILE,145.96,4,36.49
Assis Carvalho,145.87,2,72.935
Paulo Pimenta,142.6,1,142.6
Alice Portugal,137.0,2,68.5
Fábio Ramalho,136.47,1,136.47
Jefferson Campos,132.98,2,66.49
Luiz Lima,132.26999999999998,2,66.13499999999999
Bia Cavassa,131.68,3,43.89333333333334
Vander Loubet,125.66,3,41.88666666666666
JOÃO FERNANDO COUTINHO,120.34,1,120.34
Vilson da Fetaemg,120.19999999999999,2,60.099999999999994
TONINHO PINHEIRO,111.71000000000001,2,55.855000000000004
Adriano do Baldy,110.99,4,27.7475
MARIA HELENA,110.97,2,55.485
BENJAMIN MARANHÃO,110.77,2,55.385
Jaqueline Cassol,104.0,3,34.666666666666664
Marlon Santos,100.0,1,100.0
FELIPE MAIA,95.78,1,95.78
Daniela do Waguinho,95.5,2,47.75
Bosco Costa,89.97,1,89.97
Leur Lomanto Júnior,89.21,1,89.21
Rodrigo de Castro,83.28,2,41.64
Sergio Souza,83.0,1,83.0
LUIZ SÉRGIO,76.11,2,38.055
Rachel Marques,75.82,1,75.82
Célio Studart,75.01,2,37.505
Carmen Zanotto,70.21,1,70.21
Dr. Frederico,65.78,1,65.78
Márcio Marinho,65.78,1,65.78
Joenia Wapichana,62.62,1,62.62
WEVERTON ROCHA,62.35,1,62.35
JORGINHO MELLO,62.35,1,62.35
Severino Pessoa,62.34,1,62.34
Capitão Fábio Abreu,58.760000000000005,2,29.380000000000003
Pedro Dalua,56.5,1,56.5
Fábio Mitidieri,53.45,2,26.725
Margarete Coelho,53.25,1,53.25
TAKAYAMA,52.589999999999996,3,17.529999999999998
Pedro Lucas Fernandes,51.5,1,51.5
Fábio Henrique,50.5,1,50.5
GOULART,50.05,1,50.05
LEONARDO QUINTÃO,49.51,1,49.51
PEPE VARGAS,48.9,1,48.9
Bira do Pindaré,44.21,1,44.21
Ricardo Izar,44.1,1,44.1
MARCO MAIA,44.0,1,44.0
Túlio Gadêlha,35.5,1,35.5
Áurea Carolina,35.4,1,35.4
WILSON BESERRA,32.9,1,32.9
MARCUS PESTANA,30.8,1,30.8
FLAVINHO,27.81,1,27.81
VALDIR COLATTO,26.0,1,26.0
Enio Verri,21.29,1,21.29
Pastor Gil,21.02,1,21.02
Vinicius Poit,9.56,1,9.56
