Shipment Date,Matching Fields,Consignee,Consignee Full Address,Consignee Email 1,Consignee Phone 1,Consignee Website 1,Consignee Profile,Consignee Trade Roles,Shipper,Shipper Full Address,Shipper Email 1,Shipper Phone 1,Shipper Website 1,Shipper Profile,Shipper Trade Roles,Notify Party,HS Code,Goods Shipped,Volume (TEU),Gross Weight (kg)
2021-11-02,HS Code (4-digit): 9301,Comando Do Exercito,"Av. Brasil, 25540 - Vila Militar, Rio de Janeiro - RJ, 21615-335, Brazil",,+55 61 3317 3051,,https://panjiva.com/Comando-Do-Exercito/36037225,"",Fn Herstal Sa,"Rue Voie de Liège 33, 4040 Herstal, Belgium",,+32 4 240 81 11,,https://panjiva.com/Fn-Herstal-SA/1092839,Manufacturer,COMANDO DO EXERCITO,93019000,1 X 20 CONTAINERS CONTAINING 34 CASE OF MINIMI 5.56 MK3 PARA MACHINE GUN MINIMI 7.62 MK3 MACHINE GUN PARTS & SPARES,1.0,1796.0
2021-09-30,HS Code (4-digit): 9301,Cargo Shipping Sao Paulo Ltda,"Condomínio Edifício Paineiras - R. Fiação da Saúde, 145 - Jardim da Saúde, São Paulo - SP, 04144-020, Brazil",,,,https://panjiva.com/Cargo-Shipping-Sao-Paulo-Ltda/37428042,Logistics,Ab International Logistics Group Inc.,United States,,,,https://panjiva.com/Ab-International-Logistics-Group-Inc/111930885,Logistics,CARGO SHIPPING SERVICES,93010000,1 X 20 CONTAINERS CONTAINING 10 PALLET OF AES ITN,1.0,2804.0
2021-06-29,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Bae Systems Bofors Ab,Sweden,,,,https://panjiva.com/Bae-Systems-Bofors-Ab/40059244,"",COMANDO DA MARINHA,93010000,1 X 40 CONTAINERS CONTAINING 5 BOXES OF LITHIUM ION BATTERIES ACCESSORIES,2.0,9107.0
2021-02-22,HS Code (4-digit): 9301,Ctl Logistics Do Brasil Ltda,"Av. Jabaquara, 2229 - CONJ 91 E 92 - Mirandópolis, São Paulo - SP, 04045-003, Brazil",,,,https://panjiva.com/Ctl-Logistics-Do-Brasil-Ltda/66600863,Logistics,Charter Link Logistics Ltd.,Hong Kong,,,,https://panjiva.com/Charter-Link-Logistics-Ltd/87845524,"Manufacturer, Logistics",CTL LOGISTICS DO BRASIL LTDA,93010000,1 PACK OF GLASS PLATE OPTICAL SORTING MACHINE,0.12,1300.0
2020-10-19,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Naval Group Sa,"42 Rue du Dr Finlay, 75015 Paris-15E-Arrondissement, France",,,,https://panjiva.com/Naval-Group-SA/46736013,"",COMANDO DA MARINHA,93010000,1 CRATES OF TLT SET CDRL 1A,1.84,6920.0
2020-07-25,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Naval Group Sa,"42 Rue du Dr Finlay, 75015 Paris-15E-Arrondissement, France",,,,https://panjiva.com/Naval-Group-SA/46736013,"",COMANDO DA MARINHA,93010000,2 X 40 CONTAINERS CONTAINING 2 CRATES OF LAUNCHING TUBES EQUIPMENT,4.0,13750.0
2020-07-25,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Naval Group Sa,"42 Rue du Dr Finlay, 75015 Paris-15E-Arrondissement, France",,,,https://panjiva.com/Naval-Group-SA/46736013,"",COMANDO DA MARINHA,93010000,3 X 40 CONTAINERS CONTAINING 3 CRATES OF LAUNCHING TUBES EQUIPMENT,6.0,22590.0
2020-01-13,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Naval Group Sa,"42 Rue du Dr Finlay, 75015 Paris-15E-Arrondissement, France",,,,https://panjiva.com/Naval-Group-SA/46736013,"",COMANDO DA MARINHA,93010000,16 CRATES OF BOW SHUTTER KINEMATICS,0.47,1281.0
2020-01-13,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Naval Group Sa,"42 Rue du Dr Finlay, 75015 Paris-15E-Arrondissement, France",,,,https://panjiva.com/Naval-Group-SA/46736013,"",COMANDO DA MARINHA,93010000,1 X 20 & 2 X 40 CONTAINERS CONTAINING 6 CRATES OF BOW SHUTTER KINEMATICS,0.97,2643.0
2019-08-21,HS Code (4-digit): 9301,Jas Forwarding Worldwide,"R. Fidêncio Ramos, 223 - 5 ANDAR - Vila Olímpia, São Paulo - SP, 04551-010, Brazil",,,,https://panjiva.com/Jas-Forwarding-Worldwide/36373760,Logistics,Jas Forwarding Worldwide,Panama,,,,https://panjiva.com/Jas-Forwarding-Worldwide/36050922,Logistics,JAS FORWARDING WORLDWIDE,93010000,1 SKIDS OF AUTO PARTS,0.01,44.0
2018-12-29,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,"",COMANDO DA MARINHA,93010000,22 CRATE BOW SHUTTER KINEMATICS,1.88,3962.0
2018-10-13,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,"",COMANDO DA MARINHA,93010000,1 CRATE BOWS SHUTTERS KINEMATICS TUNNEL WLT 3,0.51,105.0
2018-10-08,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,"",COMANDO DA MARINHA,93010000,16 CRATE BOW SHUTTER KINEMATICS,0.64,1365.0
2018-10-08,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,"",COMANDO DA MARINHA,93010000,6 CRATE BOW SHUTTER KINEMATICS,1.2,2554.0
2018-05-26,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,"",COMANDO DA MARINHA,93010000,4 CRATE   SIGNALS DECOYS AND FLARES LAUNCHER,0.13,414.0
2018-05-18,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,"",COMANDO DA MARINHA,93010000,4 CRATE SIGNALS DECOYS AND FLARES LAUNCHER,0.21,417.0
2018-05-18,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,"",COMANDO DA MARINHA,93010000,4 CRATE SIGNALS DECOYS AND FLARES LAUNCHER,0.21,415.0
2018-01-07,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,"",COMANDO DA MARINHA,93010000,"1 CRATE KRTU (SMB2-KTRU-DB1,05)",1.97,7215.0
2018-01-07,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,"",COMANDO DA MARINHA,93010000,"1 CRATE KRTU (SMB2-KTRU-DB1,04)",1.96,7180.0
2018-01-07,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,"",COMANDO DA MARINHA,93010000,"3 CRATE KRTU (SMB2-KTRU-DB1,03)",6.0,23360.0
2017-09-07,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,"",COMANDO DA MARINHA,93010000,4 CRATE CINEMATIC FW TLT,0.67,1474.0
2017-09-07,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,"",COMANDO DA MARINHA,93010000,4 CRATE CINEMATIC FW TLT,0.97,2127.0
2017-09-07,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,"",COMANDO DA MARINHA,93010000,2 CRATE CINEMATIC FW TLT,0.72,1592.0
2017-08-15,HS Code (4-digit): 9301,Comando Da Aeronautica,"Av. Brasil, Rio de Janeiro - RJ, Brazil",,,,https://panjiva.com/Comando-Da-Aeronautica/87841762,"",Rosoboron Exp.,Russia,,,,https://panjiva.com/Rosoboron-Exp/44260353,Trading Company,COMANDO DA AERONAUTICA,93012000,1X20 SHIPPERS OWN CONTAINER STC:92 PCS ROCKETS WITH INERT HEAD,1.0,8583.0
2017-08-06,HS Code (4-digit): 9301,Craft Multimodal Ltda,"Av. das Nações Unidas, 12551 - 24 ANDAR CJ 2402 - Cidade Monções, São Paulo - SP, 04578-000, Brazil",,,,https://panjiva.com/Craft-Multimodal-Ltda/38528680,Logistics,Globelink International Forwarders,Thailand,,,,https://panjiva.com/Globelink-International-Forwarders/36043333,Logistics,CRAFT MULTIMODAL,93010000,3 PLYWOOD CASES WITH FUEL INJECTION PUMP TEST BENCH,0.96,3000.0
2017-04-27,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,"",COMANDO DA MARINHA,93010000,4 CRATE SIGNALS DECOYS AND FLARES LAUNCHER,0.08,427.0
2016-10-19,HS Code (4-digit): 9301,Dhl Global Forwarding,R QUINZE DE NOVEMBRO 119 TERREO MZNINO ANDAR2 E 3 CENTRO - SANTOS - SP - 11010150,,,,https://panjiva.com/Dhl-Global-Forwarding/39718926,Logistics,Dhl Global Forwarding,"Yeongdeungpo-gu, Seoul, South Korea",,,,https://panjiva.com/Dhl-Global-Forwarding/87842425,Logistics,DHL GLOBAL FORWARDING,93010000,1 SKID SLAC: 3 PIECES WIPER MOTOR TEST CONTROLLERS,0.02,204.0
2016-10-03,Goods Shipped: ...Packages 11 Pallet(S) Said To Contain 170 Bags Indian Origin Pigments Sunbrite R Red 53 (51 Bags) Sunb:Rite Orange 36 9301 (45 Bags),Vanguard Logistics Services Do Brasil Ltda,AV SENADOR FEIJO 14 ANDAR 5 CONJ 51 CENTRO - SANTOS - SP - 11015500,,,,https://panjiva.com/Vanguard-Logistics-Services-Do-Brasil-Ltda/42209098,Logistics,Freight Systems,India,,,,https://panjiva.com/Freight-Systems/42546063,Logistics,VANGUARD LOGISTICS SERVICES DO BRASIL LTDA,32041700,17 PACKAGES 11 PALLET(S) SAID TO CONTAIN 170 BAGS INDIAN ORIGIN PIGMENTS SUNBRITE R RED 53 (51 BAGS) SUNB:RITE ORANGE 36 9301 (45 BAGS),1.0,4650.0
2015-11-05,HS Code (4-digit): 9301,Panalpina,"Praça da República, 87 - ANDAR 9 CONJ 91 - Centro, Santos - SP, 11013-010, Brazil",,,,https://panjiva.com/Panalpina/36078133,Logistics,Panalpina,"25 de Agosto 91, Salto 50000, Uruguay",,,,https://panjiva.com/Panalpina/36051837,"",PANALPINA,93010000,1 CRATE (ISPM-15) SLAC: MANUFACTURING MACHINERY OGP OPTICAL GAGING PRODUCTS - OPTICAL COMPARATOR,0.38,374.0
2015-03-30,"Goods Shipped: 11 Pallet(S) Indian Origin Pigmentssunbrite Orange 36 9301:C.I.Name:Pigment Orange 36, C.I.No:11780 Invoice No:100144491,1001445:10",Vanguard Logistic Group,"Av. Senador Feijó, 14 - Centro, Santos - SP, 11015-500, Brazil",,,,https://panjiva.com/Vanguard-Logistic-Group/39584338,Logistics,Fsi Cargo,"Mannargudi, Tamil Nadu, India",,,,https://panjiva.com/Fsi-Cargo/36065629,Logistics,VANGUARD LOGISTIC GROUP,32041700,"11 PALLET(S)  INDIAN ORIGIN PIGMENTSSUNBRITE ORANGE 36 9301:C.I.NAME:PIGMENT ORANGE 36, C.I.NO:11780  INVOICE NO:100144491,1001445:10",0.44,3605.0
2014-12-02,"Goods Shipped: 1 Crate Scale Weight Indicator And Scale Weight Load Cell, Non  Hazardous Ncm: 8423 Ncm: 9301 Aes: X20141028809669",Ecu Line Ltd.,"Avenida Pacaembu, 1418 - Pacaembú, São Paulo - SP, Brazil",,,,https://panjiva.com/Ecu-Line-Ltd/39583440,"",Econocaribe,"Florida, USA",,+1 843 744 0720,,https://panjiva.com/Econocaribe/1077375,"",ECU LINE LTD,00330000,"1 CRATE SCALE WEIGHT INDICATOR AND SCALE WEIGHT LOAD CELL, NON- HAZARDOUS NCM: 8423 NCM: 9301 AES: X20141028809669",0.06,498.0
2014-11-27,"Goods Shipped: ...20264893,20264894, 20264895,20258681, 20258683,20258682, 20258680 Import No. 9318,9323,9331,9301 Ncm: 3506,3916,3917,3920, 3926,4016,4819,4901, 7307,7318,7320...",Festo Automacao Ltda,"Rua Giuseppe Crespi, 76 - Sacomã, São Paulo - SP, 04183-080, Brazil",,+55 11 5013 1800,,https://panjiva.com/Festo-Automacao-Ltda/36032101,"",Panalpina,"25 de Agosto 91, Salto 50000, Uruguay",,,,https://panjiva.com/Panalpina/36051837,"",PANALPINA,00330000,"1 HIGH CUBE 40´ CONTAINER SAID TO CONTAIN 40 PACKGS PNEUMATIC ELEMENTS FESTO REF. 33349136,33348960, 33348957,33349727, 33349728,33350766, 33351419,33351805, 33352147,33345496, 33344324 INVOICES: 20262007,20262009, 20262010,20262012, 20262013,20263760, 20263761,20263762, 20263764,20263765, 20263766,20264892, 20264893,20264894, 20264895,20258681, 20258683,20258682, 20258680 IMPORT NO. 9318,9323,9331,9301 NCM: 3506,3916,3917,3920, 3926,4016,4819,4901, 7307,7318,7320,7326, 7412,7415,7419,7604, 7609,7616,7907,8412, 8419,8421,8424,8431, 8479,8481,8482,8483, 8501,8504,8505,8517, 8531,8536,8537,8538, 8541,8543,8544,9026, 9031,5910,7222,7304, 9032,8203,8205, SHIPPER´S LOAD, STOW, COUNT AND SEALED FREIGHT PREPAID SHIPPED ON BOARD",2.0,6866.0
2014-11-24,Goods Shipped: 2016 Ea Liquid Crystal Module Nc320 Dxn Vsbp2 Invoice No.?: Noesaz140:9301 Ncm No.?: 8529.90.20,Pantos Logistics,"Avenida Paulista, 777 - Bela Vista, São Paulo - SP, 01311-100, Brazil",,,,https://panjiva.com/Pantos-Logistics/39583098,Logistics,Panton Ltda,Netherlands,,,,https://panjiva.com/Panton-Ltda/36049119,"",PANTOS LOGISTICS,85299020,2016 EA LIQUID CRYSTAL MODULE NC320DXN-VSBP2 INVOICE NO.?: NOESAZ140:9301 NCM NO.?: 8529.90.20,2.0,9436.0
2014-08-18,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,"",Brazilian Naval Commission,United States,,,,https://panjiva.com/Brazilian-Naval-Commission/36070939,"",COMANDO DA MARINHA,93010000,"8 PALLET FIREARMS, SHIP SPARES",1.0,1025.0
